Date,Open,High,Low,Close,Adj Close,Volume
2020-01-29,1662.400024,1665.699951,1646.199951,1650.000000,1650.000000,41176021
2020-01-30,1639.000000,1651.599976,1628.699951,1647.500000,1647.500000,56113958
2020-01-31,1651.000000,1651.000000,1609.099976,1616.500000,1616.500000,60107537
2020-02-02,1613.500000,1620.900024,1613.500000,1618.400024,1618.400024,62750
2020-02-03,1626.500000,1639.000000,1619.800049,1631.300049,1631.300049,54103234
2020-02-04,1641.300049,1662.599976,1640.900024,1657.699951,1657.699951,47504270
2020-02-05,1658.500000,1686.000000,1655.300049,1683.500000,1683.500000,47792122
2020-02-06,1693.099976,1695.199951,1676.800049,1681.599976,1681.599976,38480812
2020-02-07,1677.099976,1680.500000,1652.699951,1656.900024,1656.900024,45258889
2020-02-09,1656.300049,1659.699951,1646.400024,1650.400024,1650.400024,83746
2020-02-10,1656.800049,1669.599976,1653.300049,1668.500000,1668.500000,37116416
2020-02-11,1675.099976,1688.500000,1670.199951,1679.800049,1679.800049,42557676
2020-02-12,1681.699951,1691.900024,1681.300049,1687.699951,1687.699951,34394962
2020-02-13,1683.400024,1698.000000,1673.199951,1693.599976,1693.599976,45175349
2020-02-14,1701.099976,1701.699951,1681.800049,1687.199951,1687.199951,38493159
2020-02-16,1687.599976,1691.900024,1687.599976,1691.300049,1691.300049,24038
2020-02-18,1681.699951,1689.099976,1672.599976,1686.699951,1686.699951,55041012
2020-02-19,1689.199951,1699.500000,1686.300049,1695.599976,1695.599976,33362152
2020-02-20,1688.800049,1698.900024,1673.699951,1687.900024,1687.900024,54730420
2020-02-21,1689.300049,1692.199951,1671.000000,1678.400024,1678.400024,57506020
2020-02-23,1665.800049,1666.599976,1650.500000,1655.699951,1655.699951,225610
2020-02-24,1652.500000,1653.900024,1618.000000,1632.500000,1632.500000,94005090
2020-02-25,1642.099976,1645.500000,1566.300049,1582.199951,1582.199951,101952419
2020-02-26,1585.000000,1591.599976,1541.800049,1547.800049,1547.800049,99794694
2020-02-27,1523.800049,1556.699951,1474.800049,1490.000000,1490.000000,111386257
2020-02-28,1479.199951,1498.900024,1444.000000,1494.300049,1494.300049,147751255
2020-03-01,1454.500000,1461.900024,1446.400024,1453.000000,1453.000000,199041
2020-03-02,1486.099976,1520.099976,1451.300049,1510.599976,1510.599976,124414166
2020-03-03,1507.300049,1548.000000,1468.400024,1476.099976,1476.099976,101718407
2020-03-04,1496.099976,1530.199951,1490.400024,1518.099976,1518.099976,75962071
2020-03-05,1511.199951,1517.900024,1459.599976,1480.400024,1480.400024,66440751
2020-03-06,1459.300049,1468.900024,1414.400024,1444.900024,1444.900024,80169756
2020-03-08,1419.800049,1419.800049,1376.099976,1376.099976,1376.099976,505428
2020-03-09,1376.099976,1376.599976,1289.500000,1341.900024,1341.900024,46649676
2020-03-10,1349.099976,1373.800049,1283.699951,1319.400024,1319.400024,100858050
2020-03-11,1313.099976,1326.099976,1244.699951,1257.900024,1257.900024,88908651
2020-03-12,1201.000000,1226.800049,1084.099976,1092.699951,1092.699951,99423112
2020-03-13,1074.400024,1217.300049,1074.400024,1199.699951,1199.699951,83998491
2020-03-15,1174.699951,1188.599976,1138.099976,1138.099976,1138.099976,149962
2020-03-16,1138.099976,1138.099976,973.700012,1041.099976,1041.099976,68866266
2020-03-17,1043.500000,1107.500000,1000.700012,1052.400024,1052.400024,77764157
2020-03-18,1034.699951,1068.599976,959.099976,1033.900024,1033.900024,50747320
2020-03-19,953.900024,1073.500000,951.700012,1016.299988,1016.299988,94207759
2020-03-20,1029.500000,1100.699951,994.299988,997.799988,997.799988,80435752
2020-03-22,979.000000,979.000000,962.400024,962.400024,962.400024,26420
2020-03-23,969.900024,1063.800049,958.900024,1015.500000,1015.500000,64687806
2020-03-24,1028.099976,1109.599976,1024.199951,1087.099976,1087.099976,66840908
2020-03-25,1073.199951,1145.099976,1062.800049,1095.500000,1095.500000,73963523
2020-03-26,1089.599976,1180.300049,1069.000000,1166.599976,1166.599976,67142215
2020-03-27,1151.900024,1164.099976,1111.800049,1120.099976,1120.099976,53571161
2020-03-29,1095.000000,1117.800049,1086.300049,1116.599976,1116.599976,380006
